"","study","sample","experiment","run","ftp"
"1647","SRP079058","SRS1573212","SRX1963656","SRR3934364","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934364/SRR3934364.sra"
"1648","SRP079058","SRS1575855","SRX1966299","SRR3937007","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937007/SRR3937007.sra"
"1649","SRP079058","SRS1574073","SRX1964516","SRR3935224","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935224/SRR3935224.sra"
"1650","SRP079058","SRS1574075","SRX1964519","SRR3935227","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935227/SRR3935227.sra"
"1651","SRP079058","SRS1573421","SRX1963865","SRR3934573","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934573/SRR3934573.sra"
"1652","SRP079058","SRS1574070","SRX1964511","SRR3935219","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935219/SRR3935219.sra"
"1653","SRP079058","SRS1574044","SRX1964488","SRR3935196","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935196/SRR3935196.sra"
"1654","SRP079058","SRS1575986","SRX1966430","SRR3937138","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937138/SRR3937138.sra"
"1655","SRP079058","SRS1576238","SRX1966676","SRR3937384","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937384/SRR3937384.sra"
"1656","SRP079058","SRS1573805","SRX1964249","SRR3934957","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934957/SRR3934957.sra"
"1657","SRP079058","SRS1576717","SRX1967161","SRR3937869","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937869/SRR3937869.sra"
